date_id,full_date,year,month,month_name,day_of_week
20240401,2024-04-01,2024,4,Апрель,1
20240402,2024-04-02,2024,4,Апрель,2
20240403,2024-04-03,2024,4,Апрель,3
20240405,2024-04-05,2024,4,Апрель,5
20240410,2024-04-10,2024,4,Апрель,3
20240415,2024-04-15,2024,4,Апрель,1
20240420,2024-04-20,2024,4,Апрель,6
20240501,2024-05-01,2024,5,Май,3
20240505,2024-05-05,2024,5,Май,7
20240512,2024-05-12,2024,5,Май,7
20240518,2024-05-18,2024,5,Май,6
20240525,2024-05-25,2024,5,Май,6
20240601,2024-06-01,2024,6,Июнь,6
20240610,2024-06-10,2024,6,Июнь,1
